01 Time,02 Resistance,03 Current,04 Voltage,05 Sample Temperature,06 Heater Temperature,07 CJ Temperature
9.214689016342163,3236.988811162152,4.7714820539113134e-08,0.00015445234021171927,104.3,93.33,0.0
18.296885013580322,7368.829689495454,5.964352567389142e-08,0.00043950298277195543,104.26,93.37,0.0
27.380914211273193,6140.706849610994,7.157200343499426e-08,0.00043950269173365086,104.24,93.41,0.0
36.46275520324707,4905.897039687703,8.94651748239994e-08,0.0004389069363242015,104.22,93.44,0.0
45.54729413986206,4919.224440937197,8.946494745032396e-08,0.00044009815610479563,104.2,93.48,0.0
54.62787413597107,6132.366316471661,7.157200343499426e-08,0.0004389057430671528,104.19,93.52,0.0
63.71582317352295,5263.43548786764,8.350093594344798e-08,0.0004395017895149067,104.15,93.54,0.0
72.79502320289612,5263.439321862211,8.350093594344798e-08,0.00043950210965704173,104.13,93.57,0.0
81.87894821166992,4618.007357566285,9.542964107822627e-08,0.0004406947846291587,104.11,93.61,0.0
90.96223998069763,3340.3797522752006,1.3121552910888568e-07,0.0004383096966193989,104.09,93.65,0.0
100.0444450378418,4899.224951203643,8.94651748239994e-08,0.0004383100167615339,104.07,93.68,0.0
109.12563705444336,6689.835631060559,6.560776455444284e-08,0.00043890516099054366,104.03,93.74,0.0
118.20805621147156,5652.948842992414,7.753646968922112e-08,0.0004383096966193989,104.01,93.79,0.0
127.2937421798706,4618.0153108269415,9.542941370455083e-08,0.0004406944935908541,104.0,93.83,0.0
136.37406611442566,9223.547907801249,4.771459316543769e-08,0.0004400978359626606,103.98,93.89,0.0
145.4593961238861,3508.96910285735,1.252510628546588e-07,0.00043950210965704173,103.96,93.92,0.0
154.5425581932068,4919.215191932336,8.94651748239994e-08,0.0004400984471431002,103.94,93.96,0.0
163.62501907348633,4932.5588925232105,8.946494745032396e-08,0.00044129112211521715,103.92,94.0,0.0
172.70882105827332,8165.381836049186,5.3679059419664554e-08,0.0004383100167615339,103.9,94.03,0.0
181.78889799118042,9198.539160932467,4.7714820539113134e-08,0.00043890664528589696,103.88,94.11,0.0
190.873948097229,7338.829239654614,5.964352567389142e-08,0.000437713650171645,103.86,94.15,0.0
199.95777416229248,4611.762965716232,9.542941370455083e-08,0.0004400978359626606,103.86,94.2,0.0
209.03971409797668,7368.815050607094,5.964352567389142e-08,0.00043950210965704173,103.84,94.26,0.0
218.12215113639832,4925.880774235524,8.94651748239994e-08,0.0004406947846291587,103.82,94.29,0.0
227.20555710792542,7358.816201894669,5.964352567389142e-08,0.0004389057430671528,103.82,94.33,0.0
236.288006067276,4905.883702016916,8.94651748239994e-08,0.0004389057430671528,103.8,94.39,0.0
245.37134408950806,5277.73706567912,8.350070856977254e-08,0.0004406947846291587,103.79,94.46,0.0
254.45565509796143,5270.5953599825725,8.350070856977254e-08,0.0004400984471431002,103.77,94.5,0.0
263.5383460521698,6165.671044355069,7.15722308086697e-08,0.0004412908310769126,103.77,94.57,0.0
272.62028312683105,5249.180699270232,8.350070856977254e-08,0.0004383103077998385,103.77,94.63,0.0
281.7038459777832,6708.045996132332,6.560776455444284e-08,0.00044009990233462304,103.75,94.68,0.0
290.78641510009766,7368.819930236547,5.964352567389142e-08,0.0004395024006953463,103.73,94.74,0.0
299.8693470954895,4899.224951203643,8.94651748239994e-08,0.0004383100167615339,103.73,94.79,0.0
308.9526631832123,8198.669626065299,5.367928679334e-08,0.00044009873818140477,103.71,94.85,0.0
318.03455805778503,6698.934381346475,6.560776455444284e-08,0.00043950210965704173,103.71,94.92,0.0
327.1190149784088,8176.485727477201,5.3679059419664554e-08,0.0004389060632092878,103.71,95.0,0.0
336.20132303237915,5668.359217379065,7.753624231554568e-08,0.00043950327381026,103.71,95.05,0.0
345.2842860221863,4912.55611581002,8.94651748239994e-08,0.00043950269173365086,103.71,95.13,0.0
354.3674750328064,8165.398101515145,5.3679059419664554e-08,0.0004383108898764476,103.69,95.18,0.0
363.44802713394165,6132.378922221128,7.157200343499426e-08,0.00043890664528589696,103.69,95.24,0.0
372.53235602378845,5263.4571397451255,8.350070856977254e-08,0.0004395024006953463,103.69,95.27,0.0
381.61579418182373,8176.461937276563,5.367928679334e-08,0.00043890664528589696,103.67,95.35,0.0
390.69997906684875,5652.952971915697,7.753646968922112e-08,0.0004383100167615339,103.67,95.4,0.0
399.7828869819641,4912.552862719584,8.94651748239994e-08,0.0004395024006953463,103.67,95.46,0.0
408.86436319351196,6689.849382767392,6.560776455444284e-08,0.0004389060632092878,103.67,95.52,0.0
417.9485490322113,6698.9432534154,6.560776455444284e-08,0.00043950269173365086,103.65,95.57,0.0
427.0317180156708,6689.849382767392,6.560776455444284e-08,0.0004389060632092878,103.65,95.63,0.0
